open,high,low,close,volume,vwap,timestamp,transactions
264.215,264.4,264.19,264.34,43708.0,264.2772,2024-01-12 20:30:00,1213
264.33,264.4842,264.22,264.2621,43924.0,264.3488,2024-01-12 20:35:00,1119
264.27,264.5099,264.19,264.38,62508.0,264.3578,2024-01-12 20:40:00,1395
264.38,264.51,264.29,264.45,59863.0,264.4035,2024-01-12 20:45:00,1625
264.45,264.5,264.201,264.26,91832.0,264.2851,2024-01-12 20:50:00,2228
264.27,264.28,264.06,264.26,248525.0,264.1794,2024-01-12 20:55:00,4355
264.32,264.35,264.17,264.17,16578.0,264.1746,2024-01-12 21:00:00,36
264.17,264.17,264.17,264.17,3609.0,264.1786,2024-01-12 21:05:00,25
264.17,264.17,264.17,264.17,304.0,264.17,2024-01-12 21:10:00,1
264.17,264.17,264.17,264.17,10918.0,264.17,2024-01-12 21:20:00,1
264.16,264.16,264.16,264.16,152.0,264.1592,2024-01-12 21:55:00,2
264.0,264.0,264.0,264.0,258.0,263.9005,2024-01-16 09:00:00,20
263.5,263.5,263.5,263.5,194.0,263.5,2024-01-16 10:20:00,3
263.46,263.51,263.46,263.51,756.0,263.5383,2024-01-16 13:00:00,31
263.88,263.88,263.88,263.88,150.0,263.88,2024-01-16 13:45:00,1
263.5,263.5,263.5,263.5,320.0,263.5415,2024-01-16 13:55:00,12
263.8,263.8,263.8,263.8,1007.0,263.7969,2024-01-16 14:05:00,13
263.52,263.98,262.35,263.31,225686.0,263.397,2024-01-16 14:30:00,3173
263.34,264.1416,263.3026,263.82,54301.0,263.7777,2024-01-16 14:35:00,1401
263.77,264.08,263.35,264.0,40225.0,263.8486,2024-01-16 14:40:00,1072
263.93,264.3,263.805,263.805,46597.0,264.0689,2024-01-16 14:45:00,1492
263.83,263.97,263.44,263.74,36551.0,263.6712,2024-01-16 14:50:00,1178
263.79,264.37,263.675,264.29,53781.0,263.9901,2024-01-16 14:55:00,1262
264.33,264.65,263.9984,264.1,64629.0,264.3163,2024-01-16 15:00:00,1686
264.1,264.64,264.04,264.47,53921.0,264.3561,2024-01-16 15:05:00,1333
264.4892,264.83,264.2948,264.81,57626.0,264.6139,2024-01-16 15:10:00,1325
264.81,265.1,264.72,265.05,99705.0,264.9052,2024-01-16 15:15:00,1959
265.12,265.28,264.99,265.22,53516.0,265.1539,2024-01-16 15:20:00,1250
265.23,265.28,265.025,265.1,59645.0,265.1618,2024-01-16 15:25:00,1213
265.125,265.355,265.11,265.355,55782.0,265.2346,2024-01-16 15:30:00,1248
265.3275,265.53,265.04,265.505,50583.0,265.2844,2024-01-16 15:35:00,1220
265.51,265.66,265.24,265.31,45803.0,265.4628,2024-01-16 15:40:00,1178
265.325,265.52,265.2,265.225,58203.0,265.3627,2024-01-16 15:45:00,1166
265.26,265.2675,264.94,265.09,44760.0,265.0863,2024-01-16 15:50:00,1283
265.125,265.25,264.875,264.94,41816.0,265.0539,2024-01-16 15:55:00,1060
264.98,264.98,264.29,264.62,87389.0,264.5884,2024-01-16 16:00:00,2160
264.57,264.94,264.46,264.795,49563.0,264.706,2024-01-16 16:05:00,1209
264.82,265.19,264.795,265.14,52312.0,264.9523,2024-01-16 16:10:00,1084
265.09,265.41,264.95,265.15,34215.0,265.1839,2024-01-16 16:15:00,916
265.265,265.42,265.13,265.27,22466.0,265.2479,2024-01-16 16:20:00,728
265.25,265.3892,264.965,264.985,73372.0,265.2234,2024-01-16 16:25:00,1215
265.01,265.25,264.92,265.1538,83443.0,265.0461,2024-01-16 16:30:00,838
265.1,265.27,265.07,265.22,32618.0,265.1547,2024-01-16 16:35:00,928
265.21,265.36,265.175,265.25,29327.0,265.257,2024-01-16 16:40:00,749
