gvkey,datadate,fyear,at,lt,sale,ni,roe,roa,ticker,conm
180711,2024-10-31,2024,165645.0,97967.0,51574.0,5895.0,0.08710363781435622,0.03558815539255637,AVGO,BROADCOM INC
024800,2024-09-30,2024,55154.0,28880.0,38962.0,10142.0,0.38600898226383495,0.1838851216593538,QCOM,QUALCOMM INC
001690,2024-09-30,2024,364980.0,308030.0,391035.0,93736.0,1.6459350307287095,0.25682503150857583,AAPL,APPLE INC
012141,2024-06-30,2024,512163.0,243686.0,245122.0,88136.0,0.32828137978299815,0.17208583985957596,MSFT,MICROSOFT CORP
157855,2024-01-31,2023,99823.0,40177.0,34857.0,4136.0,0.06934245381081715,0.04143333700650151,CRM,SALESFORCE INC
117768,2024-01-31,2023,65728.0,22750.0,60922.0,29760.0,0.6924472986178976,0.4527750730282376,NVDA,NVIDIA CORP
339965,2024-01-31,2023,8223.383,3032.789,2806.489,-836.097,-0.16139909055600554,-0.10167311920167163,SNOW,SNOWFLAKE INC
035005,2024-01-31,2023,9929.793,1910.387,4527.224,637.462,0.0794899273088306,0.06419690722656556,ZM,ZOOM COMMUNICATIONS INC
024616,2023-12-31,2023,82166.0,61115.0,29771.0,4246.0,0.2017006317989644,0.051675875666334005,PYPL,PAYPAL HOLDINGS INC
036910,2023-12-31,2023,4522.425,961.46,2225.012,209.825,0.060371548650707034,0.0463965682128504,PLTR,PALANTIR TECHNOLOG INC
001161,2023-12-31,2023,67885.0,11993.0,22680.0,854.0,0.015279467544550203,0.012580098696324666,AMD,ADVANCED MICRO DEVICES
023650,2023-12-31,2023,11299.0,2233.0,7060.0,132.0,0.01455989410986102,0.011682449774316312,SHOP,SHOPIFY INC
184996,2023-12-31,2023,106618.0,43009.0,96773.0,14997.0,0.23943864354823258,0.1406610516047947,TSLA,TESLA INC
160329,2023-12-31,2023,402392.0,119013.0,307394.0,73795.0,0.2625418476656029,0.18339082287918249,GOOGL,ALPHABET INC
147579,2023-12-31,2023,48731.992,28143.679,33723.297,5407.99,0.262672808597771,0.11097412147650357,NFLX,NETFLIX INC
170617,2023-12-31,2023,229623.0,76455.0,134902.0,39098.0,0.25526219575890524,0.1702703997421861,META,META PLATFORMS INC
006008,2023-12-31,2023,191572.0,81607.0,54228.0,1689.0,0.01599583293872526,0.008816528511473493,INTC,INTEL CORP
064768,2023-12-31,2023,527854.0,325979.0,574785.0,30425.0,0.15071207430340558,0.057639044129626754,AMZN,AMAZON.COM INC
012540,2023-11-30,2023,29779.0,13261.0,19409.0,5428.0,0.32861121201113935,0.18227610060781088,ADBE,ADOBE INC
180711,2023-10-31,2023,72861.0,48873.0,35819.0,14082.0,0.5870435217608805,0.1932721208877177,AVGO,BROADCOM INC
001690,2023-09-30,2023,352583.0,290437.0,383285.0,96995.0,1.5607601454639075,0.27509834563776475,AAPL,APPLE INC
024800,2023-09-30,2023,51040.0,29459.0,35820.0,7232.0,0.3351095871368333,0.14169278996865203,QCOM,QUALCOMM INC
012141,2023-06-30,2023,411976.0,205753.0,211915.0,72361.0,0.35088714643856406,0.175643726819038,MSFT,MICROSOFT CORP
339965,2023-01-31,2022,7722.322,2253.707,2065.659,-796.705,-0.1460119755825964,-0.10316909862085523,SNOW,SNOWFLAKE INC
117768,2023-01-31,2022,41182.0,19081.0,26974.0,4368.0,0.19763811592235644,0.10606575688407557,NVDA,NVIDIA CORP
157855,2023-01-31,2022,98849.0,40490.0,31352.0,208.0,0.003564146061447249,0.002104219567218687,CRM,SALESFORCE INC
035005,2023-01-31,2022,8128.065,1921.458,4392.96,103.711,0.016709773955399465,0.01275961744892542,ZM,ZOOM COMMUNICATIONS INC
024616,2022-12-31,2022,78717.0,58443.0,27518.0,2419.0,0.11931537930354148,0.030730337792344728,PYPL,PAYPAL HOLDINGS INC
184996,2022-12-31,2022,82338.0,36440.0,81462.0,12556.0,0.2808697208303508,0.1524933809419709,TSLA,TESLA INC
064768,2022-12-31,2022,462675.0,316632.0,513983.0,-2722.0,-0.018638346240490815,-0.0058831793375479545,AMZN,AMAZON.COM INC
006008,2022-12-31,2022,182103.0,78817.0,63054.0,8014.0,0.07901560789958885,0.04400806137186098,INTC,INTEL CORP
036910,2022-12-31,2022,3461.239,818.802,1905.871,-373.705,-0.145675442419404,-0.10796856270254669,PLTR,PALANTIR TECHNOLOG INC
160329,2022-12-31,2022,365264.0,109120.0,282836.0,59972.0,0.2341339246673746,0.16418809409084936,GOOGL,ALPHABET INC
023650,2022-12-31,2022,10757.151,2518.262,5599.864,-3460.418,-0.420010270802289,-0.3216853607428212,SHOP,SHOPIFY INC
147579,2022-12-31,2022,48594.768,27817.367,31615.55,4491.924,0.21619277598771858,0.09243637092783322,NFLX,NETFLIX INC
170617,2022-12-31,2022,185727.0,60014.0,116609.0,23200.0,0.18454734196145187,0.12491452508251358,META,META PLATFORMS INC
001161,2022-12-31,2022,67580.0,12830.0,23601.0,1320.0,0.02410958904109589,0.01953240603728914,AMD,ADVANCED MICRO DEVICES
012540,2022-11-30,2022,27165.0,13114.0,17606.0,4756.0,0.3384812468863426,0.17507822565801584,ADBE,ADOBE INC
180711,2022-10-31,2022,73249.0,50540.0,33203.0,11495.0,0.5061869743273592,0.15693047004054664,AVGO,BROADCOM INC
024800,2022-09-30,2022,49014.0,31001.0,44200.0,12936.0,0.718148004219175,0.2639245929734362,QCOM,QUALCOMM INC
001690,2022-09-30,2022,352755.0,302083.0,394328.0,99803.0,1.9695887275023682,0.2829244092925685,AAPL,APPLE INC
012141,2022-06-30,2022,364840.0,198298.0,198270.0,72738.0,0.4367546925099975,0.19936958666812848,MSFT,MICROSOFT CORP
035005,2022-01-31,2021,7551.318,1771.3,4099.864,1375.639,0.23799908581599574,0.18217203937114024,ZM,ZOOM COMMUNICATIONS INC
117768,2022-01-31,2021,44187.0,17575.0,26914.0,9752.0,0.3664512250112731,0.22069839545567702,NVDA,NVIDIA CORP
339965,2022-01-31,2021,6649.698,1600.653,1219.327,-679.948,-0.134668635355795,-0.10225246319456914,SNOW,SNOWFLAKE INC
157855,2022-01-31,2021,95209.0,37078.0,26492.0,1444.0,0.024840446577557584,0.015166633406505687,CRM,SALESFORCE INC
024616,2021-12-31,2021,75803.0,54076.0,25371.0,4169.0,0.19188106963685736,0.054997823305146236,PYPL,PAYPAL HOLDINGS INC
160329,2021-12-31,2021,359268.0,107633.0,257637.0,76033.0,0.30215590041131,0.21163309841121392,GOOGL,ALPHABET INC
023650,2021-12-31,2021,13340.172,2206.831,4611.856,2914.659,0.2617955382845096,0.21848736283160367,SHOP,SHOPIFY INC
147579,2021-12-31,2021,44584.663,28735.415,29697.844,5116.228,0.3228057255460953,0.11475309345727251,NFLX,NETFLIX INC
036910,2021-12-31,2021,3247.45,956.42,1541.889,-520.379,-0.2271375756755695,-0.1602423439929791,PLTR,PALANTIR TECHNOLOG INC
006008,2021-12-31,2021,168406.0,73015.0,79024.0,19868.0,0.2082796070908157,0.11797679417597948,INTC,INTEL CORP
170617,2021-12-31,2021,165987.0,41108.0,117929.0,39370.0,0.31526517669103693,0.23718724960388465,META,META PLATFORMS INC
184996,2021-12-31,2021,62131.0,30548.0,53823.0,5519.0,0.1828149325913412,0.08882844312822906,TSLA,TESLA INC
064768,2021-12-31,2021,420549.0,282304.0,469822.0,33364.0,0.2413396506202756,0.07933439385184604,AMZN,AMAZON.COM INC
001161,2021-12-31,2021,12419.0,4922.0,16434.0,3162.0,0.4217687074829932,0.254609871970368,AMD,ADVANCED MICRO DEVICES
012540,2021-11-30,2021,27241.0,12444.0,15785.0,4822.0,0.3258768669324863,0.1770125913145626,ADBE,ADOBE INC
180711,2021-10-31,2021,75570.0,50581.0,27450.0,6736.0,0.269850172261838,0.08913590048961229,AVGO,BROADCOM INC
001690,2021-09-30,2021,351002.0,287912.0,365817.0,94680.0,1.5007132667617689,0.26974205275183616,AAPL,APPLE INC
024800,2021-09-30,2021,41240.0,31290.0,33566.0,9043.0,0.9088442211055276,0.21927740058195927,QCOM,QUALCOMM INC
012141,2021-06-30,2021,333779.0,191791.0,168088.0,61271.0,0.4315223821731414,0.18356757015869782,MSFT,MICROSOFT CORP
339965,2021-01-31,2020,5921.739,985.268,592.049,-539.102,-0.10920797468474949,-0.09103778467777793,SNOW,SNOWFLAKE INC
117768,2021-01-31,2020,28791.0,11898.0,16675.0,4332.0,0.2564375776949032,0.1504636865687194,NVDA,NVIDIA CORP
035005,2021-01-31,2020,5297.993,1437.226,2651.368,672.316,0.1741405269989098,0.12690012991712143,ZM,ZOOM COMMUNICATIONS INC
157855,2021-01-31,2020,66301.0,24808.0,21252.0,4072.0,0.09813703516255753,0.06141687154039909,CRM,SALESFORCE INC
006008,2020-12-31,2020,153091.0,72053.0,77867.0,20899.0,0.2578913596090723,0.13651357689217525,INTC,INTEL CORP
184996,2020-12-31,2020,52148.0,28469.0,31536.0,721.0,0.03244094488188976,0.013826033596686355,TSLA,TESLA INC
170617,2020-12-31,2020,159316.0,31026.0,85965.0,29146.0,0.22718840127835374,0.18294458811418815,META,META PLATFORMS INC
160329,2020-12-31,2020,319616.0,97072.0,182527.0,40269.0,0.18094848659141563,0.12599181517821387,GOOGL,ALPHABET INC
001161,2020-12-31,2020,8962.0,3125.0,9763.0,2490.0,0.4265890011992462,0.2778397679089489,AMD,ADVANCED MICRO DEVICES
147579,2020-12-31,2020,39280.359,28215.119,24996.056,2761.395,0.2495558162317311,0.07029963753640846,NFLX,NETFLIX INC
064768,2020-12-31,2020,321195.0,227791.0,386064.0,21331.0,0.22837351719412444,0.06641137004000686,AMZN,AMAZON.COM INC
036910,2020-12-31,2020,2690.504,1167.954,1092.673,-1166.391,-0.7660773045220189,-0.43352137740735563,PLTR,PALANTIR TECHNOLOG INC
024616,2020-12-31,2020,70379.0,50316.0,21454.0,4202.0,0.20990059443528647,0.05970530982253229,PYPL,PAYPAL HOLDINGS INC
023650,2020-12-31,2020,7762.905,1362.182,2929.491,319.509,0.049917642116367164,0.041158432313676385,SHOP,SHOPIFY INC
012540,2020-11-30,2020,24284.0,11020.0,12868.0,5260.0,0.396562123039807,0.2166035249547027,ADBE,ADOBE INC
180711,2020-10-31,2020,75933.0,52032.0,23888.0,2960.0,0.12398425064924186,0.038981733896988134,AVGO,BROADCOM INC
024800,2020-09-30,2020,35594.0,29517.0,21731.0,5198.0,0.8553562613131479,0.14603584873855144,QCOM,QUALCOMM INC
001690,2020-09-30,2020,323888.0,258549.0,274515.0,57411.0,0.8786635853012749,0.1772557180259843,AAPL,APPLE INC
012141,2020-06-30,2020,301311.0,183007.0,143015.0,44281.0,0.37429841763592103,0.14696111326835065,MSFT,MICROSOFT CORP
157855,2020-01-31,2019,55126.0,21241.0,17098.0,126.0,0.0037184594953519256,0.0022856728222617278,CRM,SALESFORCE INC
339965,2020-01-31,2019,1012.72,621.003,264.748,-348.535,,-0.3441573189035469,SNOW,SNOWFLAKE INC
117768,2020-01-31,2019,17315.0,5111.0,10918.0,2796.0,0.22910521140609635,0.16147848686110308,NVDA,NVIDIA CORP
035005,2020-01-31,2019,1289.845,455.902,622.658,25.305,0.030343800475572072,0.01961863634777822,ZM,ZOOM COMMUNICATIONS INC
184996,2019-12-31,2019,34309.0,26199.0,24578.0,-862.0,-0.13025083106678756,-0.025124602873881487,TSLA,TESLA INC
023650,2019-12-31,2019,3489.479,473.745,1578.173,-124.842,-0.041396887125986576,-0.03577668758000836,SHOP,SHOPIFY INC
170617,2019-12-31,2019,133376.0,32322.0,70697.0,18485.0,0.18292200209788825,0.13859315019193857,META,META PLATFORMS INC
024616,2019-12-31,2019,51333.0,34404.0,17772.0,2459.0,0.14563221794492154,0.04790290846044455,PYPL,PAYPAL HOLDINGS INC
006008,2019-12-31,2019,136524.0,58865.0,71965.0,21048.0,0.27157308009909165,0.15417069526237145,INTC,INTEL CORP
147579,2019-12-31,2019,33975.712,26393.555,20156.447,1866.916,0.24622491990076176,0.05494854677364819,NFLX,NETFLIX INC
160329,2019-12-31,2019,275909.0,74467.0,161857.0,34343.0,0.17048579740074066,0.1244721991671167,GOOGL,ALPHABET INC
036910,2019-12-31,2019,1594.025,1447.436,742.555,-579.646,,-0.3636367058233089,PLTR,PALANTIR TECHNOLOG INC
064768,2019-12-31,2019,225248.0,163188.0,280522.0,11588.0,0.1867225265871737,0.051445517829237106,AMZN,AMAZON.COM INC
001161,2019-12-31,2019,6028.0,3201.0,6731.0,341.0,0.12062256809338522,0.05656934306569343,AMD,ADVANCED MICRO DEVICES
012540,2019-11-30,2019,20762.4,10232.245,11171.297,2951.458,0.28028628258558397,0.14215398990482797,ADBE,ADOBE INC
180711,2019-10-31,2019,67493.0,42523.0,22597.0,2724.0,0.10921775389920212,0.040359741010178835,AVGO,BROADCOM INC
024800,2019-09-30,2019,32957.0,28048.0,19550.0,4386.0,0.8934609900183337,0.13308250144127196,QCOM,QUALCOMM INC
001690,2019-09-30,2019,338516.0,248028.0,260174.0,55256.0,0.6106445053487756,0.16323009842961633,AAPL,APPLE INC
012141,2019-06-30,2019,286556.0,184226.0,125843.0,39240.0,0.3834652594547054,0.13693658482111698,MSFT,MICROSOFT CORP
035005,2019-01-31,2018,354.565,202.452,330.517,7.584,,0.021389590061060736,ZM,ZOOM COMMUNICATIONS INC
157855,2019-01-31,2018,30737.0,15132.0,13282.0,1110.0,0.07113104774110862,0.03611282818752643,CRM,SALESFORCE INC
339965,2019-01-31,2018,764.288,165.902,96.666,-178.028,,-0.23293313515324066,SNOW,SNOWFLAKE INC
117768,2019-01-31,2018,13292.0,3950.0,11716.0,4141.0,0.44326696638835367,0.3115407764068613,NVDA,NVIDIA CORP
001161,2018-12-31,2018,4556.0,3290.0,6475.0,337.0,0.26619273301737756,0.07396839332748024,AMD,ADVANCED MICRO DEVICES
184996,2018-12-31,2018,29739.614,23426.01,21461.268,-976.091,-0.19826179613722095,-0.03282123971077768,TSLA,TESLA INC
036910,2018-12-31,2018,1430.965,922.67,595.409,-580.027,,-0.4053397532434406,PLTR,PALANTIR TECHNOLOG INC
160329,2018-12-31,2018,232792.0,55164.0,136819.0,30736.0,0.17303578264688,0.13203202859204782,GOOGL,ALPHABET INC
147579,2018-12-31,2018,25974.4,20735.635,15794.341,1211.242,0.231207546053316,0.04663214549710484,NFLX,NETFLIX INC
024616,2018-12-31,2018,43332.0,27946.0,15451.0,2057.0,0.13369296763291305,0.047470691405889415,PYPL,PAYPAL HOLDINGS INC
170617,2018-12-31,2018,97334.0,13207.0,55838.0,22112.0,0.2628407051243953,0.2271765261881768,META,META PLATFORMS INC
023650,2018-12-31,2018,2254.785,164.017,1073.229,-64.553,-0.03087525732171145,-0.028629337165184263,SHOP,SHOPIFY INC
006008,2018-12-31,2018,127963.0,52981.0,70848.0,21053.0,0.28235183670184943,0.1645241202535108,INTC,INTEL CORP
064768,2018-12-31,2018,162648.0,119099.0,232887.0,10073.0,0.231302670555007,0.06193128719689145,AMZN,AMAZON.COM INC
012540,2018-11-30,2018,18768.682,9406.568,9030.008,2590.774,0.27672959333757313,0.13803707687092787,ADBE,ADOBE INC
180711,2018-10-31,2018,50124.0,23467.0,20848.0,12259.0,0.4598792062122519,0.244573457824595,AVGO,BROADCOM INC
024800,2018-09-30,2018,32686.0,31758.0,22732.0,-4864.0,-5.241379310344827,-0.14880988802545433,QCOM,QUALCOMM INC
001690,2018-09-30,2018,365725.0,258578.0,265359.0,59531.0,0.5556011834209077,0.16277530931710985,AAPL,APPLE INC
012141,2018-06-30,2018,258848.0,176130.0,110360.0,16571.0,0.20033124591987234,0.06401826554580294,MSFT,MICROSOFT CORP
157855,2018-01-31,2017,21009.802,11621.306,10480.012,127.478,0.013578106653078405,0.006067548851721687,CRM,SALESFORCE INC
035005,2018-01-31,2017,215.019,82.138,151.478,-3.822,,-0.017775173356773123,ZM,ZOOM COMMUNICATIONS INC
117768,2018-01-31,2017,11241.0,3770.0,9714.0,3047.0,0.4078436621603534,0.2710612934792278,NVDA,NVIDIA CORP
160329,2017-12-31,2017,197295.0,44793.0,110855.0,12662.0,0.08302841929941902,0.06417800755214273,GOOGL,ALPHABET INC
147579,2017-12-31,2017,19012.742,15430.786,11692.713,558.929,0.15604016353076364,0.029397600830011788,NFLX,NETFLIX INC
024616,2017-12-31,2017,40774.0,24780.0,13055.0,1795.0,0.11222958609478555,0.04402315200863295,PYPL,PAYPAL HOLDINGS INC
170617,2017-12-31,2017,84524.0,10177.0,40653.0,15934.0,0.21431934039033182,0.18851450475604561,META,META PLATFORMS INC
184996,2017-12-31,2017,28655.372,23022.98,11758.751,-1961.4,-0.4628954400055508,-0.06844789870464776,TSLA,TESLA INC
006008,2017-12-31,2017,123249.0,53364.0,62761.0,9601.0,0.13910662281400774,0.07789921216399322,INTC,INTEL CORP
001161,2017-12-31,2017,3540.0,2929.0,5329.0,43.0,0.07037643207855974,0.012146892655367232,AMD,ADVANCED MICRO DEVICES
023650,2017-12-31,2017,1113.564,112.464,673.304,-39.995,-0.039951053840775144,-0.03591621137177567,SHOP,SHOPIFY INC
064768,2017-12-31,2017,131310.0,103601.0,177866.0,3033.0,0.10945902053484427,0.023098012337217273,AMZN,AMAZON.COM INC
012540,2017-11-30,2017,14535.556,6075.687,7301.505,1693.954,0.2002340698183388,0.11653864496136233,ADBE,ADOBE INC
180711,2017-10-31,2017,54418.0,31232.0,17636.0,1692.0,0.08341138772491989,0.031092653166231762,AVGO,BROADCOM INC
024800,2017-09-30,2017,65486.0,34740.0,23231.0,2466.0,0.0802055551941716,0.03765690376569038,QCOM,QUALCOMM INC
001690,2017-09-30,2017,375319.0,241272.0,229234.0,48351.0,0.3607018433832909,0.12882641166580963,AAPL,APPLE INC
012141,2017-06-30,2017,241086.0,168692.0,89950.0,21204.0,0.2928972014255325,0.0879520171225206,MSFT,MICROSOFT CORP
157855,2017-01-31,2016,17584.923,10084.796,8391.984,179.632,0.023950527771063077,0.010215114390890423,CRM,SALESFORCE INC
117768,2017-01-31,2016,9841.0,4079.0,6910.0,1666.0,0.28913571676501215,0.16929173864444672,NVDA,NVIDIA CORP
035005,2017-01-31,2016,,,,,,,ZM,ZOOM COMMUNICATIONS INC
184996,2016-12-31,2016,22664.076,16750.167,7000.132,-674.914,-0.1420001342335255,-0.029779021214012873,TSLA,TESLA INC
160329,2016-12-31,2016,167497.0,28461.0,90272.0,19478.0,0.140093213268506,0.11628864994596919,GOOGL,ALPHABET INC
001161,2016-12-31,2016,3321.0,2905.0,4272.0,-497.0,-1.1947115384615385,-0.1496537187594098,AMD,ADVANCED MICRO DEVICES
024616,2016-12-31,2016,33103.0,18391.0,10842.0,1401.0,0.0952283849918434,0.04232244811648491,PYPL,PAYPAL HOLDINGS INC
170617,2016-12-31,2016,64961.0,5767.0,27638.0,10217.0,0.17260195290063182,0.15727898277427996,META,META PLATFORMS INC
147579,2016-12-31,2016,13586.61,10906.81,8830.669,186.678,0.06966116874393612,0.013739851221165545,NFLX,NETFLIX INC
064768,2016-12-31,2016,83402.0,64117.0,135987.0,2371.0,0.12294529427015816,0.02842857485432004,AMZN,AMAZON.COM INC
006008,2016-12-31,2016,113327.0,46219.0,59387.0,10316.0,0.15576963730256999,0.09102861630502881,INTC,INTEL CORP
023650,2016-12-31,2016,490.558,80.082,389.33,-35.355,-0.08613171050195383,-0.07207098854773544,SHOP,SHOPIFY INC
012540,2016-11-30,2016,12707.114,5282.279,5854.43,1168.782,0.15741521528761246,0.09197855626383772,ADBE,ADOBE INC
180711,2016-10-31,2016,49966.0,28090.0,13240.0,-1739.0,-0.09204954478085962,-0.03480366649321539,AVGO,BROADCOM INC
001690,2016-09-30,2016,321686.0,193437.0,215091.0,45687.0,0.3562366958026963,0.14202358821956815,AAPL,APPLE INC
024800,2016-09-30,2016,52359.0,20591.0,23554.0,5705.0,0.17952671659638744,0.10895930021581772,QCOM,QUALCOMM INC
012141,2016-06-30,2016,193694.0,121697.0,85320.0,16798.0,0.23331527702543162,0.0867244209939389,MSFT,MICROSOFT CORP
117768,2016-01-31,2015,7370.0,2901.0,5010.0,614.0,0.13739091519355562,0.08331071913161466,NVDA,NVIDIA CORP
157855,2016-01-31,2015,12770.772,7767.903,6667.216,-47.426,-0.009479760513417401,-0.0037136361059456704,CRM,SALESFORCE INC
024616,2015-12-31,2015,28881.0,15122.0,9248.0,1228.0,0.08925067228723017,0.042519303348222015,PYPL,PAYPAL HOLDINGS INC
001161,2015-12-31,2015,3109.0,3521.0,3991.0,-660.0,,-0.21228690897394661,AMD,ADVANCED MICRO DEVICES
006008,2015-12-31,2015,103065.0,41083.0,55355.0,11420.0,0.18695260702300073,0.11080386164071217,INTC,INTEL CORP
023650,2015-12-31,2015,243.712,48.395,205.233,-18.79,-0.09620258349247633,-0.07709919905462184,SHOP,SHOPIFY INC
064768,2015-12-31,2015,65444.0,52060.0,107006.0,596.0,0.04453078302450687,0.009107022798117474,AMZN,AMAZON.COM INC
147579,2015-12-31,2015,10202.871,7979.445,6779.511,122.641,0.05515857060230473,0.0120202441058012,NFLX,NETFLIX INC
160329,2015-12-31,2015,147461.0,27130.0,74989.0,16348.0,0.13585859005576287,0.11086321128976476,GOOGL,ALPHABET INC
170617,2015-12-31,2015,49407.0,5189.0,17928.0,3688.0,0.08340494821113574,0.07464529317708017,META,META PLATFORMS INC
184996,2015-12-31,2015,8092.46,6961.471,4046.025,-888.663,-0.8160777781042918,-0.10981370312611986,TSLA,TESLA INC
012540,2015-11-30,2015,11726.472,4724.892,4795.511,629.551,0.08991556191602466,0.05368630906209472,ADBE,ADOBE INC
180711,2015-10-31,2015,10592.0,5878.0,6824.0,1364.0,0.28935086974968177,0.12877643504531722,AVGO,BROADCOM INC
001690,2015-09-30,2015,290479.0,171124.0,233715.0,53394.0,0.44735453060198566,0.1838136319665105,AAPL,APPLE INC
024800,2015-09-30,2015,50796.0,19382.0,25281.0,5271.0,0.16775404983927947,0.10376801322938814,QCOM,QUALCOMM INC
012141,2015-06-30,2015,176223.0,96140.0,93580.0,12193.0,0.15225453591898405,0.06919074127667785,MSFT,MICROSOFT CORP
157855,2015-01-31,2014,10692.982,6717.799,5373.586,-262.688,-0.06608198918137857,-0.024566393172643516,CRM,SALESFORCE INC
117768,2015-01-31,2014,7201.368,2783.386,4681.507,630.587,0.14273190791632923,0.08756489044859254,NVDA,NVIDIA CORP
001161,2014-12-31,2014,3767.0,3580.0,5506.0,-403.0,-2.1550802139037435,-0.1069816830368994,AMD,ADVANCED MICRO DEVICES
064768,2014-12-31,2014,54505.0,43764.0,88988.0,-241.0,-0.022437389442323805,-0.004421612696082928,AMZN,AMAZON.COM INC
023650,2014-12-31,2014,95.193,27.461,105.018,-22.311,,-0.23437647726198355,SHOP,SHOPIFY INC
006008,2014-12-31,2014,91956.0,35179.0,55870.0,11704.0,0.20950505683343776,0.12727826351733437,INTC,INTEL CORP
184996,2014-12-31,2014,5849.251,4879.345,3198.356,-294.04,-0.3225148347610534,-0.05026968410143452,TSLA,TESLA INC
024616,2014-12-31,2014,21917.0,13669.0,8025.0,419.0,0.05080019398642095,0.019117579960761053,PYPL,PAYPAL HOLDINGS INC
147579,2014-12-31,2014,7056.651,5198.943,5504.656,266.799,0.1436172961520325,0.037808161406877004,NFLX,NETFLIX INC
160329,2014-12-31,2014,131133.0,26633.0,66001.0,14444.0,0.1382200956937799,0.11014771262763759,GOOGL,ALPHABET INC
170617,2014-12-31,2014,40184.0,4088.0,12466.0,2940.0,0.08144946808510638,0.07316344813856261,META,META PLATFORMS INC
012540,2014-11-30,2014,10785.829,4009.924,4147.065,268.395,0.039610207049833195,0.024884039975045034,ADBE,ADOBE INC
180711,2014-10-31,2014,10491.0,7248.0,4269.0,263.0,0.0810977489978415,0.02506910685349347,AVGO,BROADCOM INC
024800,2014-09-30,2014,48574.0,9408.0,26487.0,7967.0,0.20340064847200592,0.16401778729361385,QCOM,QUALCOMM INC
001690,2014-09-30,2014,231839.0,120292.0,182795.0,39510.0,0.3542004715501089,0.17041998973425523,AAPL,APPLE INC
012141,2014-06-30,2014,172384.0,82600.0,86451.0,22074.0,0.24585672280139,0.12805132726935214,MSFT,MICROSOFT CORP
157855,2014-01-31,2013,9152.93,6087.715,4071.003,-232.175,-0.0764108066124515,-0.025366194213219156,CRM,SALESFORCE INC
117768,2014-01-31,2013,7250.894,2794.496,4130.162,439.99,0.09873220479858397,0.060680793292523655,NVDA,NVIDIA CORP
024616,2013-12-31,2013,19160.0,11770.0,6727.0,955.0,0.12922868741542626,0.04984342379958246,PYPL,PAYPAL HOLDINGS INC
023650,2013-12-31,2013,95.788,10.407,50.252,-4.837,,-0.050496930722011106,SHOP,SHOPIFY INC
001161,2013-12-31,2013,4337.0,3793.0,5299.0,-83.0,-0.15257352941176472,-0.01913765275536085,AMD,ADVANCED MICRO DEVICES
006008,2013-12-31,2013,92358.0,34102.0,52708.0,9620.0,0.16513320516341665,0.10415989952142748,INTC,INTEL CORP
064768,2013-12-31,2013,40159.0,30413.0,74452.0,274.0,0.02811409809152473,0.006822879055753381,AMZN,AMAZON.COM INC
160329,2013-12-31,2013,110920.0,23611.0,59825.0,12920.0,0.1479801624116643,0.11648034619545619,GOOGL,ALPHABET INC
147579,2013-12-31,2013,5412.563,4079.002,4374.562,112.403,0.0842878578482724,0.020767056198699212,NFLX,NETFLIX INC
170617,2013-12-31,2013,17895.0,2425.0,7872.0,1500.0,0.09696186166774402,0.08382229673093043,META,META PLATFORMS INC
184996,2013-12-31,2013,2416.93,1749.81,2013.496,-74.014,-0.11094555702122556,-0.030623145891689043,TSLA,TESLA INC
012540,2013-11-30,2013,10380.298,3655.664,4055.24,289.985,0.043122793002563414,0.027936095861602433,ADBE,ADOBE INC
